date,close
21 Aug 14,65.43
20 Aug 14,66.31
19 Aug 14,66.77
18 Aug 14,66.40
15 Aug 14,66.31
14 Aug 14,66.51
13 Aug 14,65.93
12 Aug 14,65.51
11 Aug 14,65.36
08 Aug 14,65.15
07 Aug 14,64.98
06 Aug 14,65.40
05 Aug 14,65.61
04 Aug 14,66.61
01 Aug 14,66.60
31 Jul 14,66.10
30 Jul 14,67.36
29 Jul 14,66.86
28 Jul 14,66.14
25 Jul 14,65.31
24 Jul 14,65.17
23 Jul 14,65.32
22 Jul 14,65.55
21 Jul 14,64.78
18 Jul 14,64.75
17 Jul 14,63.92
16 Jul 14,64.56
15 Jul 14,64.31
14 Jul 14,64.35
11 Jul 14,63.96
10 Jul 14,64.54
09 Jul 14,65.02
08 Jul 14,64.82
07 Jul 14,65.19
03 Jul 14,65.95
02 Jul 14,65.78
01 Jul 14,65.54
30 Jun 14,65.02
27 Jun 14,64.97
26 Jun 14,64.86
25 Jun 14,64.55
24 Jun 14,64.61
23 Jun 14,63.92
20 Jun 14,63.61
19 Jun 14,64.52
18 Jun 14,64.74
17 Jun 14,64.54
16 Jun 14,64.39
13 Jun 14,64.27
12 Jun 14,65.00
11 Jun 14,65.41
10 Jun 14,65.66
09 Jun 14,65.27
06 Jun 14,65.39
05 Jun 14,64.90
04 Jun 14,64.74
03 Jun 14,64.79
02 Jun 14,64.67
30 May 14,64.63
29 May 14,65.49
28 May 14,65.16
27 May 14,64.43
23 May 14,65.07
22 May 14,65.26
21 May 14,65.00
20 May 14,64.60
19 May 14,65.25
16 May 14,65.02
15 May 14,64.21
14 May 14,64.56
13 May 14,64.17
12 May 14,63.48
09 May 14,62.63
08 May 14,62.75
07 May 14,62.42
06 May 14,62.75
05 May 14,62.56
02 May 14,62.69
01 May 14,62.86
30 Apr 14,62.55
29 Apr 14,63.11
28 Apr 14,62.85
25 Apr 14,62.38
24 Apr 14,63.46
23 Apr 14,63.35
22 Apr 14,63.85
21 Apr 14,63.84
17 Apr 14,63.69
16 Apr 14,63.91
15 Apr 14,62.97
14 Apr 14,63.54
11 Apr 14,63.48
10 Apr 14,63.40
09 Apr 14,64.12
08 Apr 14,63.26
07 Apr 14,62.23
04 Apr 14,62.32
03 Apr 14,62.34
02 Apr 14,62.30
01 Apr 14,62.29
31 Mar 14,61.51
28 Mar 14,61.13
27 Mar 14,60.95
26 Mar 14,60.17
25 Mar 14,59.38
24 Mar 14,59.09
21 Mar 14,58.68
20 Mar 14,58.39
19 Mar 14,58.82
18 Mar 14,59.90
17 Mar 14,59.64
14 Mar 14,58.63
13 Mar 14,58.76
12 Mar 14,59.77
11 Mar 14,60.15
10 Mar 14,60.53
07 Mar 14,61.28
06 Mar 14,61.62
05 Mar 14,60.92
04 Mar 14,61.08
03 Mar 14,60.58
28 Feb 14,61.08
27 Feb 14,61.38
26 Feb 14,60.69
25 Feb 14,60.18
24 Feb 14,60.23
21 Feb 14,59.88
20 Feb 14,59.50
19 Feb 14,59.54
18 Feb 14,60.13
14 Feb 14,60.73
13 Feb 14,59.81
12 Feb 14,60.05
11 Feb 14,59.88
10 Feb 14,58.96
07 Feb 14,59.22
06 Feb 14,58.92
05 Feb 14,58.03
04 Feb 14,57.91
03 Feb 14,57.47
31 Jan 14,59.04
30 Jan 14,58.93
29 Jan 14,58.52
28 Jan 14,58.72
27 Jan 14,58.14
24 Jan 14,57.64
23 Jan 14,59.35
22 Jan 14,60.81
21 Jan 14,60.49
17 Jan 14,60.39
16 Jan 14,60.75
15 Jan 14,60.78
14 Jan 14,60.89
13 Jan 14,60.51
10 Jan 14,60.64
09 Jan 14,60.52
08 Jan 14,60.73
07 Jan 14,61.00
06 Jan 14,60.77
03 Jan 14,61.26
02 Jan 14,61.64
31 Dec 13,64.67
30 Dec 13,63.89
27 Dec 13,63.74
26 Dec 13,62.27
24 Dec 13,62.65
23 Dec 13,62.58
20 Dec 13,61.89
19 Dec 13,61.88
18 Dec 13,62.98
17 Dec 13,61.77
16 Dec 13,62.25
13 Dec 13,61.44
12 Dec 13,61.24
11 Dec 13,61.45
10 Dec 13,62.73
09 Dec 13,62.95
06 Dec 13,62.60
05 Dec 13,61.56
04 Dec 13,61.80
03 Dec 13,62.36
02 Dec 13,62.98
29 Nov 13,64.10
27 Nov 13,63.37
26 Nov 13,62.90
25 Nov 13,62.29
22 Nov 13,62.52
21 Nov 13,62.35
