date,close
21 Aug 14,54.23
20 Aug 14,54.07
19 Aug 14,54.99
18 Aug 14,53.88
15 Aug 14,53.06
14 Aug 14,54.23
13 Aug 14,54.05
12 Aug 14,54.12
11 Aug 14,54.00
08 Aug 14,55.80
07 Aug 14,54.24
06 Aug 14,55.05
05 Aug 14,56.00
04 Aug 14,57.89
01 Aug 14,57.81
31 Jul 14,57.40
30 Jul 14,58.34
29 Jul 14,59.50
28 Jul 14,60.41
25 Jul 14,60.19
24 Jul 14,60.02
23 Jul 14,59.43
22 Jul 14,58.76
21 Jul 14,58.30
18 Jul 14,58.12
17 Jul 14,56.47
16 Jul 14,58.27
15 Jul 14,57.39
14 Jul 14,57.28
11 Jul 14,56.34
10 Jul 14,55.78
09 Jul 14,56.49
08 Jul 14,55.87
07 Jul 14,55.83
03 Jul 14,54.96
02 Jul 14,54.28
01 Jul 14,54.45
30 Jun 14,55.56
27 Jun 14,55.83
26 Jun 14,55.30
25 Jun 14,55.82
24 Jun 14,54.92
23 Jun 14,55.79
20 Jun 14,55.20
19 Jun 14,55.41
18 Jun 14,55.66
17 Jun 14,54.56
16 Jun 14,54.00
13 Jun 14,55.85
12 Jun 14,56.21
11 Jun 14,55.98
10 Jun 14,59.05
09 Jun 14,58.29
06 Jun 14,58.18
05 Jun 14,57.51
04 Jun 14,55.58
03 Jun 14,55.87
02 Jun 14,55.91
30 May 14,56.40
29 May 14,56.98
28 May 14,55.77
27 May 14,55.21
23 May 14,55.83
22 May 14,55.95
21 May 14,54.46
20 May 14,52.97
19 May 14,53.60
16 May 14,53.54
15 May 14,53.45
14 May 14,54.84
13 May 14,54.93
12 May 14,54.80
09 May 14,54.32
08 May 14,54.41
07 May 14,54.03
06 May 14,53.50
05 May 14,53.17
02 May 14,53.13
01 May 14,52.68
30 Apr 14,52.37
29 Apr 14,50.98
28 Apr 14,51.01
25 Apr 14,50.01
24 Apr 14,50.58
23 Apr 14,50.35
22 Apr 14,50.88
21 Apr 14,51.33
17 Apr 14,51.81
16 Apr 14,50.79
15 Apr 14,50.21
14 Apr 14,51.67
11 Apr 14,51.25
10 Apr 14,50.89
09 Apr 14,51.76
08 Apr 14,52.41
07 Apr 14,50.94
04 Apr 14,50.29
03 Apr 14,50.04
02 Apr 14,49.37
01 Apr 14,49.17
31 Mar 14,47.91
28 Mar 14,46.29
27 Mar 14,45.40
26 Mar 14,45.16
25 Mar 14,43.35
24 Mar 14,42.39
21 Mar 14,42.58
20 Mar 14,43.52
19 Mar 14,42.97
18 Mar 14,44.18
17 Mar 14,42.91
14 Mar 14,42.13
13 Mar 14,41.58
12 Mar 14,42.20
11 Mar 14,41.33
10 Mar 14,42.14
07 Mar 14,42.61
06 Mar 14,43.61
05 Mar 14,42.66
04 Mar 14,42.23
03 Mar 14,40.81
28 Feb 14,42.00
27 Feb 14,41.88
26 Feb 14,40.87
25 Feb 14,41.52
24 Feb 14,43.26
21 Feb 14,43.48
20 Feb 14,42.97
19 Feb 14,42.27
18 Feb 14,43.48
14 Feb 14,44.18
13 Feb 14,43.44
12 Feb 14,43.21
11 Feb 14,43.68
10 Feb 14,42.62
07 Feb 14,42.92
06 Feb 14,43.02
05 Feb 14,41.47
04 Feb 14,41.58
03 Feb 14,39.48
31 Jan 14,40.90
30 Jan 14,40.95
29 Jan 14,40.51
28 Jan 14,41.87
27 Jan 14,41.83
24 Jan 14,40.30
23 Jan 14,42.23
22 Jan 14,44.26
21 Jan 14,43.58
17 Jan 14,43.62
16 Jan 14,44.90
15 Jan 14,46.11
14 Jan 14,46.16
13 Jan 14,45.42
10 Jan 14,46.48
09 Jan 14,45.31
08 Jan 14,45.67
07 Jan 14,46.84
06 Jan 14,46.20
03 Jan 14,44.88
02 Jan 14,45.21
31 Dec 13,46.90
30 Dec 13,47.28
27 Dec 13,44.78
26 Dec 13,45.80
24 Dec 13,49.06
23 Dec 13,47.73
20 Dec 13,48.76
19 Dec 13,49.76
18 Dec 13,52.03
17 Dec 13,51.69
16 Dec 13,54.39
13 Dec 13,53.31
12 Dec 13,52.80
11 Dec 13,52.86
10 Dec 13,54.19
09 Dec 13,53.85
06 Dec 13,53.81
05 Dec 13,51.93
04 Dec 13,52.62
03 Dec 13,52.42
02 Dec 13,53.71
29 Nov 13,55.13
27 Nov 13,54.52
26 Nov 13,55.36
25 Nov 13,55.41
22 Nov 13,55.62
21 Nov 13,54.70
