date,close
21 Aug 14,24.42
20 Aug 14,24.07
19 Aug 14,24.07
18 Aug 14,24.00
15 Aug 14,23.97
14 Aug 14,23.96
13 Aug 14,23.80
12 Aug 14,24.05
11 Aug 14,23.96
08 Aug 14,23.73
07 Aug 14,23.24
06 Aug 14,23.40
05 Aug 14,23.76
04 Aug 14,23.98
01 Aug 14,24.12
31 Jul 14,24.18
30 Jul 14,23.52
29 Jul 14,23.88
28 Jul 14,23.44
25 Jul 14,23.00
24 Jul 14,23.08
23 Jul 14,23.11
22 Jul 14,23.26
21 Jul 14,23.49
18 Jul 14,24.17
17 Jul 14,23.92
16 Jul 14,23.95
15 Jul 14,23.62
14 Jul 14,23.21
11 Jul 14,23.14
10 Jul 14,22.88
09 Jul 14,22.89
08 Jul 14,22.56
07 Jul 14,22.84
03 Jul 14,22.43
02 Jul 14,22.43
01 Jul 14,21.00
30 Jun 14,20.85
27 Jun 14,21.89
26 Jun 14,21.88
25 Jun 14,21.87
24 Jun 14,21.23
23 Jun 14,22.20
20 Jun 14,23.13
19 Jun 14,23.21
18 Jun 14,23.18
17 Jun 14,22.74
16 Jun 14,23.06
13 Jun 14,24.87
12 Jun 14,24.46
11 Jun 14,24.10
10 Jun 14,24.32
09 Jun 14,24.90
06 Jun 14,26.34
05 Jun 14,25.95
04 Jun 14,25.62
03 Jun 14,26.04
02 Jun 14,26.21
30 May 14,25.75
29 May 14,25.52
28 May 14,24.57
27 May 14,25.27
23 May 14,24.29
22 May 14,24.27
21 May 14,24.08
20 May 14,23.37
19 May 14,24.26
16 May 14,25.55
15 May 14,25.67
14 May 14,25.96
13 May 14,25.91
09 May 14,25.77
08 May 14,25.86
07 May 14,25.83
06 May 14,25.84
05 May 14,26.03
02 May 14,25.36
01 May 14,25.39
