date,close
04 Aug 14,389.93
01 Aug 14,388.71
31 Jul 14,392.41
30 Jul 14,395.11
29 Jul 14,397.49
28 Jul 14,395.56
25 Jul 14,399.29
24 Jul 14,402.05
23 Jul 14,402.49
22 Jul 14,400.99
21 Jul 14,396.33
18 Jul 14,395.09
17 Jul 14,399.33
16 Jul 14,401.33
15 Jul 14,397.11
14 Jul 14,396.30
11 Jul 14,390.98
10 Jul 14,389.58
09 Jul 14,398.52
08 Jul 14,398.39
07 Jul 14,404.26
04 Jul 14,404.44
03 Jul 14,404.91
02 Jul 14,401.26
01 Jul 14,401.30
30 Jun 14,398.13
27 Jun 14,398.28
26 Jun 14,397.44
25 Jun 14,398.85
24 Jun 14,405.14
23 Jun 14,407.54
20 Jun 14,406.65
19 Jun 14,407.86
18 Jun 14,402.94
17 Jun 14,396.86
16 Jun 14,401.08
13 Jun 14,402.29
12 Jun 14,401.75
04 Jun 14,393.21
03 Jun 14,395.90
02 Jun 14,394.66
30 May 14,390.72
28 May 14,391.26
27 May 14,390.50
26 May 14,388.42
23 May 14,389.10
22 May 14,387.86
21 May 14,385.38
20 May 14,383.12
19 May 14,385.05
16 May 14,384.13
15 May 14,385.37
14 May 14,392.71
13 May 14,391.29
12 May 14,391.72
09 May 14,387.65
08 May 14,387.48
07 May 14,384.50
06 May 14,383.68
05 May 14,384.10
02 May 14,384.96
30 Apr 14,381.66
29 Apr 14,379.90
28 Apr 14,373.56
25 Apr 14,373.12
24 Apr 14,373.35
23 Apr 14,370.93
22 Apr 14,372.37
16 Apr 14,365.40
15 Apr 14,361.88
14 Apr 14,361.52
11 Apr 14,358.72
10 Apr 14,368.52
09 Apr 14,368.65
08 Apr 14,364.22
07 Apr 14,367.55
04 Apr 14,373.54
03 Apr 14,371.57
02 Apr 14,372.30
01 Apr 14,371.92
31 Mar 14,373.59
28 Mar 14,372.78
27 Mar 14,372.58
26 Mar 14,374.02
25 Mar 14,370.64
24 Mar 14,367.56
21 Mar 14,368.91
20 Mar 14,364.38
19 Mar 14,363.05
18 Mar 14,363.22
17 Mar 14,361.65
14 Mar 14,358.59
13 Mar 14,360.93
12 Mar 14,362.89
11 Mar 14,368.49
10 Mar 14,366.96
07 Mar 14,370.03
06 Mar 14,371.40
05 Mar 14,370.44
04 Mar 14,372.38
03 Mar 14,368.93
28 Feb 14,370.03
27 Feb 14,367.80
26 Feb 14,367.68
25 Feb 14,367.07
24 Feb 14,370.38
21 Feb 14,368.51
20 Feb 14,366.92
19 Feb 14,365.21
18 Feb 14,364.66
17 Feb 14,365.42
14 Feb 14,364.29
13 Feb 14,362.79
12 Feb 14,365.33
11 Feb 14,367.01
10 Feb 14,364.92
07 Feb 14,365.95
06 Feb 14,358.56
05 Feb 14,354.90
04 Feb 14,356.62
03 Feb 14,356.53
31 Jan 14,357.48
30 Jan 14,360.43
29 Jan 14,358.79
28 Jan 14,363.42
27 Jan 14,364.10
24 Jan 14,366.16
23 Jan 14,372.09
22 Jan 14,375.91
21 Jan 14,378.18
20 Jan 14,375.79
17 Jan 14,376.72
16 Jan 14,377.91
15 Jan 14,376.63
14 Jan 14,372.24
13 Jan 14,373.51
10 Jan 14,372.38
09 Jan 14,370.32
08 Jan 14,367.73
07 Jan 14,365.78
06 Jan 14,365.48
03 Jan 14,366.31
02 Jan 14,366.05
30 Dec 13,367.22
27 Dec 13,368.14
23 Dec 13,364.26
20 Dec 13,359.53
19 Dec 13,355.84
18 Dec 13,353.28
17 Dec 13,355.59
16 Dec 13,355.52
13 Dec 13,353.15
12 Dec 13,351.44
11 Dec 13,354.78
10 Dec 13,357.28
09 Dec 13,357.56
06 Dec 13,355.58
05 Dec 13,356.55
04 Dec 13,356.97
03 Dec 13,359.74
02 Dec 13,363.63
29 Nov 13,363.85
28 Nov 13,364.40
27 Nov 13,363.21
